api_id,module_id,package,class_name,method_name,api_type,priority,android_api_level,description_cn,harmony_mapping,mapping_difficulty,adapt_route,estimated_hours,adapter_project,status,notes
P0-0001,M01,android.app,ActionBar,<init>,ctor,P0,,ActionBar 构造函数,new Navigation() 或声明式创建,2,adapter,,13X-01,auto-filled,
P0-0002,M01,android.app,ActionBar,DISPLAY_HOME_AS_UP,field,P0,,ActionBar.DISPLAY_HOME_AS_UP 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0003,M01,android.app,ActionBar,DISPLAY_SHOW_CUSTOM,field,P0,,ActionBar.DISPLAY_SHOW_CUSTOM 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0004,M01,android.app,ActionBar,DISPLAY_SHOW_HOME,field,P0,,ActionBar.DISPLAY_SHOW_HOME 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0005,M01,android.app,ActionBar,DISPLAY_SHOW_TITLE,field,P0,,ActionBar.DISPLAY_SHOW_TITLE 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0006,M01,android.app,ActionBar,DISPLAY_USE_LOGO,field,P0,,ActionBar.DISPLAY_USE_LOGO 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0007,M01,android.app,ActionBar,NAVIGATION_MODE_LIST,field,P0,,ActionBar.NAVIGATION_MODE_LIST 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0008,M01,android.app,ActionBar,NAVIGATION_MODE_STANDARD,field,P0,,ActionBar.NAVIGATION_MODE_STANDARD 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0009,M01,android.app,ActionBar,NAVIGATION_MODE_TABS,field,P0,,ActionBar.NAVIGATION_MODE_TABS 常量/字段,Navigation 对应常量,1,adapter,,13X-01,auto-filled,
P0-0010,M01,android.app,ActionBar,addOnMenuVisibilityListener,method,P0,,添加OnMenuVisibilityListener,Navigation.addOnMenuVisibilityListener() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0011,M01,android.app,ActionBar,addTab,method,P0,,添加Tab,Navigation.addTab() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0012,M01,android.app,ActionBar,addTab,method,P0,,添加Tab,Navigation.addTab() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0013,M01,android.app,ActionBar,addTab,method,P0,,添加Tab,Navigation.addTab() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0014,M01,android.app,ActionBar,addTab,method,P0,,添加Tab,Navigation.addTab() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0015,M01,android.app,ActionBar,getCustomView,method,P0,,获取CustomView,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0016,M01,android.app,ActionBar,getDisplayOptions,method,P0,,获取DisplayOptions,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0017,M01,android.app,ActionBar,getElevation,method,P0,,获取Elevation,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0018,M01,android.app,ActionBar,getHeight,method,P0,,获取高度,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0019,M01,android.app,ActionBar,getHideOffset,method,P0,,获取HideOffset,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0020,M01,android.app,ActionBar,getNavigationItemCount,method,P0,,获取NavigationItemCount,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0021,M01,android.app,ActionBar,getNavigationMode,method,P0,,获取NavigationMode,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0022,M01,android.app,ActionBar,getSelectedNavigationIndex,method,P0,,获取SelectedNavigationIndex,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0023,M01,android.app,ActionBar,getSelectedTab,method,P0,,获取SelectedTab,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0024,M01,android.app,ActionBar,getSubtitle,method,P0,,获取Subtitle,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0025,M01,android.app,ActionBar,getTabAt,method,P0,,获取TabAt,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0026,M01,android.app,ActionBar,getTabCount,method,P0,,获取TabCount,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0027,M01,android.app,ActionBar,getThemedContext,method,P0,,获取ThemedContext,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0028,M01,android.app,ActionBar,getTitle,method,P0,,获取Title,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0029,M01,android.app,ActionBar,hide,method,P0,,ActionBar.hide(),Navigation.hide() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0030,M01,android.app,ActionBar,isHideOnContentScrollEnabled,method,P0,,判断是否HideOnContentScrollEnabled,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0031,M01,android.app,ActionBar,isShowing,method,P0,,判断是否Showing,Navigation 对应属性读取,1,adapter,,13X-01,auto-filled,
P0-0032,M01,android.app,ActionBar,newTab,method,P0,,ActionBar.newTab(),Navigation.newTab() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0033,M01,android.app,ActionBar,removeAllTabs,method,P0,,移除AllTabs,Navigation.removeAllTabs() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0034,M01,android.app,ActionBar,removeOnMenuVisibilityListener,method,P0,,移除OnMenuVisibilityListener,Navigation.removeOnMenuVisibilityListener() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0035,M01,android.app,ActionBar,removeTab,method,P0,,移除Tab,Navigation.removeTab() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0036,M01,android.app,ActionBar,removeTabAt,method,P0,,移除TabAt,Navigation.removeTabAt() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0037,M01,android.app,ActionBar,selectTab,method,P0,,ActionBar.selectTab(),Navigation.selectTab() 对应方法,2,adapter,,13X-01,auto-filled,
P0-0038,M01,android.app,ActionBar,setBackgroundDrawable,method,P0,,设置BackgroundDrawable,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0039,M01,android.app,ActionBar,setCustomView,method,P0,,设置CustomView,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0040,M01,android.app,ActionBar,setCustomView,method,P0,,设置CustomView,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0041,M01,android.app,ActionBar,setCustomView,method,P0,,设置CustomView,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0042,M01,android.app,ActionBar,setDisplayHomeAsUpEnabled,method,P0,,设置DisplayHomeAsUpEnabled,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0043,M01,android.app,ActionBar,setDisplayOptions,method,P0,,设置DisplayOptions,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0044,M01,android.app,ActionBar,setDisplayOptions,method,P0,,设置DisplayOptions,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0045,M01,android.app,ActionBar,setDisplayShowCustomEnabled,method,P0,,设置DisplayShowCustomEnabled,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0046,M01,android.app,ActionBar,setDisplayShowHomeEnabled,method,P0,,设置DisplayShowHomeEnabled,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0047,M01,android.app,ActionBar,setDisplayShowTitleEnabled,method,P0,,设置DisplayShowTitleEnabled,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0048,M01,android.app,ActionBar,setDisplayUseLogoEnabled,method,P0,,设置DisplayUseLogoEnabled,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0049,M01,android.app,ActionBar,setElevation,method,P0,,设置Elevation,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0050,M01,android.app,ActionBar,setHideOffset,method,P0,,设置HideOffset,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
P0-0051,M01,android.app,ActionBar,setHideOnContentScrollEnabled,method,P0,,设置HideOnContentScrollEnabled,Navigation 对应属性设置,1,adapter,,13X-01,auto-filled,
