api_id,module_id,package,class_name,method_name,api_type,priority,android_api_level,description_cn,harmony_mapping,mapping_difficulty,estimated_hours,adapter_project,status,notes
P4-0001,M99,android,Manifest,<init>,ctor,P4,,,,,,TBD,scraped,
P4-0002,M99,android.accessibilityservice,AccessibilityButtonController,isAccessibilityButtonAvailable,method,P4,,,,,,TBD,scraped,
P4-0003,M99,android.accessibilityservice,AccessibilityButtonController,registerAccessibilityButtonCallback,method,P4,,,,,,TBD,scraped,
P4-0004,M99,android.accessibilityservice,AccessibilityButtonController,registerAccessibilityButtonCallback,method,P4,,,,,,TBD,scraped,
P4-0005,M99,android.accessibilityservice,AccessibilityButtonController,unregisterAccessibilityButtonCallback,method,P4,,,,,,TBD,scraped,
P4-0006,M99,android.accounts,AbstractAccountAuthenticator,<init>,ctor,P4,,,,,,TBD,scraped,
P4-0007,M99,android.accounts,AbstractAccountAuthenticator,editProperties,method,P4,,,,,,TBD,scraped,
P4-0008,M99,android.accounts,AbstractAccountAuthenticator,getAuthTokenLabel,method,P4,,,,,,TBD,scraped,
P4-0009,M99,android.accounts,AbstractAccountAuthenticator,getIBinder,method,P4,,,,,,TBD,scraped,
P4-0010,M99,android.accounts,AbstractAccountAuthenticator,KEY_CUSTOM_TOKEN_EXPIRY,field,P4,,,,,,TBD,scraped,
P4-0011,M99,android.accounts,Account,<init>,ctor,P4,,,,,,TBD,scraped,
P4-0012,M99,android.accounts,Account,<init>,ctor,P4,,,,,,TBD,scraped,
P4-0013,M99,android.accounts,Account,describeContents,method,P4,,,,,,TBD,scraped,
P4-0014,M99,android.accounts,Account,writeToParcel,method,P4,,,,,,TBD,scraped,
P4-0015,M99,android.accounts,Account,CREATOR,field,P4,,,,,,TBD,scraped,
P4-0016,M99,android.accounts,Account,name,field,P4,,,,,,TBD,scraped,
P4-0017,M99,android.accounts,Account,type,field,P4,,,,,,TBD,scraped,
P2-0001,M12,android.animation,Animator,<init>,ctor,P2,,,,,,13X-12,scraped,
P2-0002,M12,android.animation,Animator,addListener,method,P2,,,,,,13X-12,scraped,
P2-0003,M12,android.animation,Animator,addPauseListener,method,P2,,,,,,13X-12,scraped,
P2-0004,M12,android.animation,Animator,cancel,method,P2,,,,,,13X-12,scraped,
P2-0005,M12,android.animation,Animator,clone,method,P2,,,,,,13X-12,scraped,
P2-0006,M12,android.animation,Animator,end,method,P2,,,,,,13X-12,scraped,
P2-0007,M12,android.animation,Animator,getDuration,method,P2,,,,,,13X-12,scraped,
P2-0008,M12,android.animation,Animator,getInterpolator,method,P2,,,,,,13X-12,scraped,
P2-0009,M12,android.animation,Animator,getListeners,method,P2,,,,,,13X-12,scraped,
P2-0010,M12,android.animation,Animator,getStartDelay,method,P2,,,,,,13X-12,scraped,
P2-0011,M12,android.animation,Animator,getTotalDuration,method,P2,,,,,,13X-12,scraped,
P2-0012,M12,android.animation,Animator,isPaused,method,P2,,,,,,13X-12,scraped,
P2-0013,M12,android.animation,Animator,isRunning,method,P2,,,,,,13X-12,scraped,
P2-0014,M12,android.animation,Animator,isStarted,method,P2,,,,,,13X-12,scraped,
P2-0015,M12,android.animation,Animator,pause,method,P2,,,,,,13X-12,scraped,
P2-0016,M12,android.animation,Animator,removeAllListeners,method,P2,,,,,,13X-12,scraped,
P2-0017,M12,android.animation,Animator,removeListener,method,P2,,,,,,13X-12,scraped,
P2-0018,M12,android.animation,Animator,removePauseListener,method,P2,,,,,,13X-12,scraped,
P2-0019,M12,android.animation,Animator,resume,method,P2,,,,,,13X-12,scraped,
P2-0020,M12,android.animation,Animator,setDuration,method,P2,,,,,,13X-12,scraped,
P2-0021,M12,android.animation,Animator,setInterpolator,method,P2,,,,,,13X-12,scraped,
P2-0022,M12,android.animation,Animator,setStartDelay,method,P2,,,,,,13X-12,scraped,
P2-0023,M12,android.animation,Animator,setTarget,method,P2,,,,,,13X-12,scraped,
P2-0024,M12,android.animation,Animator,setupEndValues,method,P2,,,,,,13X-12,scraped,
P2-0025,M12,android.animation,Animator,setupStartValues,method,P2,,,,,,13X-12,scraped,
P2-0026,M12,android.animation,Animator,start,method,P2,,,,,,13X-12,scraped,
P2-0027,M12,android.animation,Animator,DURATION_INFINITE,field,P2,,,,,,13X-12,scraped,
P0-0001,M01,android.app,ActionBar,<init>,ctor,P0,,,,,,13X-01,scraped,
P0-0002,M01,android.app,ActionBar,addOnMenuVisibilityListener,method,P0,,,,,,13X-01,scraped,
P0-0003,M01,android.app,ActionBar,addTab,method,P0,,,,,,13X-01,scraped,
P0-0004,M01,android.app,ActionBar,addTab,method,P0,,,,,,13X-01,scraped,
P0-0005,M01,android.app,ActionBar,addTab,method,P0,,,,,,13X-01,scraped,
P0-0006,M01,android.app,ActionBar,addTab,method,P0,,,,,,13X-01,scraped,
P0-0007,M01,android.app,ActionBar,getCustomView,method,P0,,,,,,13X-01,scraped,
P0-0008,M01,android.app,ActionBar,getDisplayOptions,method,P0,,,,,,13X-01,scraped,
P0-0009,M01,android.app,ActionBar,getElevation,method,P0,,,,,,13X-01,scraped,
P0-0010,M01,android.app,ActionBar,getHeight,method,P0,,,,,,13X-01,scraped,
P0-0011,M01,android.app,ActionBar,getHideOffset,method,P0,,,,,,13X-01,scraped,
P0-0012,M01,android.app,ActionBar,getNavigationItemCount,method,P0,,,,,,13X-01,scraped,
P0-0013,M01,android.app,ActionBar,getNavigationMode,method,P0,,,,,,13X-01,scraped,
P0-0014,M01,android.app,ActionBar,getSelectedNavigationIndex,method,P0,,,,,,13X-01,scraped,
P0-0015,M01,android.app,ActionBar,getSelectedTab,method,P0,,,,,,13X-01,scraped,
P0-0016,M01,android.app,ActionBar,getSubtitle,method,P0,,,,,,13X-01,scraped,
P0-0017,M01,android.app,ActionBar,getTabAt,method,P0,,,,,,13X-01,scraped,
P0-0018,M01,android.app,ActionBar,getTabCount,method,P0,,,,,,13X-01,scraped,
P0-0019,M01,android.app,ActionBar,getThemedContext,method,P0,,,,,,13X-01,scraped,
P0-0020,M01,android.app,ActionBar,getTitle,method,P0,,,,,,13X-01,scraped,
P0-0021,M01,android.app,ActionBar,hide,method,P0,,,,,,13X-01,scraped,
P0-0022,M01,android.app,ActionBar,isHideOnContentScrollEnabled,method,P0,,,,,,13X-01,scraped,
P0-0023,M01,android.app,ActionBar,isShowing,method,P0,,,,,,13X-01,scraped,
P0-0024,M01,android.app,ActionBar,newTab,method,P0,,,,,,13X-01,scraped,
P0-0025,M01,android.app,ActionBar,removeAllTabs,method,P0,,,,,,13X-01,scraped,
P0-0026,M01,android.app,ActionBar,removeOnMenuVisibilityListener,method,P0,,,,,,13X-01,scraped,
P0-0027,M01,android.app,ActionBar,removeTab,method,P0,,,,,,13X-01,scraped,
P0-0028,M01,android.app,ActionBar,removeTabAt,method,P0,,,,,,13X-01,scraped,
P0-0029,M01,android.app,ActionBar,selectTab,method,P0,,,,,,13X-01,scraped,
P0-0030,M01,android.app,ActionBar,setBackgroundDrawable,method,P0,,,,,,13X-01,scraped,
P0-0031,M01,android.app,ActionBar,setCustomView,method,P0,,,,,,13X-01,scraped,
P0-0032,M01,android.app,ActionBar,setCustomView,method,P0,,,,,,13X-01,scraped,
P0-0033,M01,android.app,ActionBar,setCustomView,method,P0,,,,,,13X-01,scraped,
P0-0034,M01,android.app,ActionBar,setDisplayHomeAsUpEnabled,method,P0,,,,,,13X-01,scraped,
P0-0035,M01,android.app,ActionBar,setDisplayOptions,method,P0,,,,,,13X-01,scraped,
P0-0036,M01,android.app,ActionBar,setDisplayOptions,method,P0,,,,,,13X-01,scraped,
P0-0037,M01,android.app,ActionBar,setDisplayShowCustomEnabled,method,P0,,,,,,13X-01,scraped,
P0-0038,M01,android.app,ActionBar,setDisplayShowHomeEnabled,method,P0,,,,,,13X-01,scraped,
P0-0039,M01,android.app,ActionBar,setDisplayShowTitleEnabled,method,P0,,,,,,13X-01,scraped,
P0-0040,M01,android.app,ActionBar,setDisplayUseLogoEnabled,method,P0,,,,,,13X-01,scraped,
P0-0041,M01,android.app,ActionBar,setElevation,method,P0,,,,,,13X-01,scraped,
P0-0042,M01,android.app,ActionBar,setHideOffset,method,P0,,,,,,13X-01,scraped,
P0-0043,M01,android.app,ActionBar,setHideOnContentScrollEnabled,method,P0,,,,,,13X-01,scraped,
P0-0044,M01,android.app,ActionBar,setHomeActionContentDescription,method,P0,,,,,,13X-01,scraped,
P0-0045,M01,android.app,ActionBar,setHomeActionContentDescription,method,P0,,,,,,13X-01,scraped,
P0-0046,M01,android.app,ActionBar,setHomeAsUpIndicator,method,P0,,,,,,13X-01,scraped,
P0-0047,M01,android.app,ActionBar,setHomeAsUpIndicator,method,P0,,,,,,13X-01,scraped,
P0-0048,M01,android.app,ActionBar,setHomeButtonEnabled,method,P0,,,,,,13X-01,scraped,
P0-0049,M01,android.app,ActionBar,setIcon,method,P0,,,,,,13X-01,scraped,
P0-0050,M01,android.app,ActionBar,setIcon,method,P0,,,,,,13X-01,scraped,
P0-0051,M01,android.app,ActionBar,setListNavigationCallbacks,method,P0,,,,,,13X-01,scraped,
P0-0052,M01,android.app,ActionBar,setLogo,method,P0,,,,,,13X-01,scraped,
P0-0053,M01,android.app,ActionBar,setLogo,method,P0,,,,,,13X-01,scraped,
P0-0054,M01,android.app,ActionBar,setNavigationMode,method,P0,,,,,,13X-01,scraped,
P0-0055,M01,android.app,ActionBar,setSelectedNavigationItem,method,P0,,,,,,13X-01,scraped,
P0-0056,M01,android.app,ActionBar,setSplitBackgroundDrawable,method,P0,,,,,,13X-01,scraped,
P0-0057,M01,android.app,ActionBar,setStackedBackgroundDrawable,method,P0,,,,,,13X-01,scraped,
P0-0058,M01,android.app,ActionBar,setSubtitle,method,P0,,,,,,13X-01,scraped,
P0-0059,M01,android.app,ActionBar,setSubtitle,method,P0,,,,,,13X-01,scraped,
P0-0060,M01,android.app,ActionBar,setTitle,method,P0,,,,,,13X-01,scraped,
P0-0061,M01,android.app,ActionBar,setTitle,method,P0,,,,,,13X-01,scraped,
P0-0062,M01,android.app,ActionBar,show,method,P0,,,,,,13X-01,scraped,
P0-0063,M01,android.app,ActionBar,DISPLAY_HOME_AS_UP,field,P0,,,,,,13X-01,scraped,
P0-0064,M01,android.app,ActionBar,DISPLAY_SHOW_CUSTOM,field,P0,,,,,,13X-01,scraped,
P0-0065,M01,android.app,ActionBar,DISPLAY_SHOW_HOME,field,P0,,,,,,13X-01,scraped,
P0-0066,M01,android.app,ActionBar,DISPLAY_SHOW_TITLE,field,P0,,,,,,13X-01,scraped,
P0-0067,M01,android.app,ActionBar,DISPLAY_USE_LOGO,field,P0,,,,,,13X-01,scraped,
P0-0068,M01,android.app,ActionBar,NAVIGATION_MODE_LIST,field,P0,,,,,,13X-01,scraped,
P0-0069,M01,android.app,ActionBar,NAVIGATION_MODE_STANDARD,field,P0,,,,,,13X-01,scraped,
P0-0070,M01,android.app,ActionBar,NAVIGATION_MODE_TABS,field,P0,,,,,,13X-01,scraped,
P3-0001,M11,android.app.admin,ConnectEvent,getInetAddress,method,P3,,,,,,13X-11,scraped,
P3-0002,M11,android.app.admin,ConnectEvent,getPort,method,P3,,,,,,13X-11,scraped,
P3-0003,M11,android.app.admin,ConnectEvent,writeToParcel,method,P3,,,,,,13X-11,scraped,
P3-0004,M11,android.app.admin,ConnectEvent,CREATOR,field,P3,,,,,,13X-11,scraped,
P3-0005,M11,android.app.admin,DelegatedAdminReceiver,<init>,ctor,P3,,,,,,13X-11,scraped,
P3-0006,M11,android.app.admin,DelegatedAdminReceiver,onChoosePrivateKeyAlias,method,P3,,,,,,13X-11,scraped,
P3-0007,M11,android.app.admin,DelegatedAdminReceiver,onReceive,method,P3,,,,,,13X-11,scraped,
P3-0008,M11,android.app.admin,DelegatedAdminReceiver,onSecurityLogsAvailable,method,P3,,,,,,13X-11,scraped,
P3-0009,M11,android.app.admin,DeviceAdminInfo,describeContents,method,P3,,,,,,13X-11,scraped,
P3-0010,M11,android.app.admin,DeviceAdminInfo,dump,method,P3,,,,,,13X-11,scraped,
P3-0011,M11,android.app.admin,DeviceAdminInfo,getActivityInfo,method,P3,,,,,,13X-11,scraped,
P3-0012,M11,android.app.admin,DeviceAdminInfo,getComponent,method,P3,,,,,,13X-11,scraped,
P3-0013,M11,android.app.admin,DeviceAdminInfo,getHeadlessDeviceOwnerMode,method,P3,,,,,,13X-11,scraped,
P3-0014,M11,android.app.admin,DeviceAdminInfo,getPackageName,method,P3,,,,,,13X-11,scraped,
P3-0015,M11,android.app.admin,DeviceAdminInfo,getReceiverName,method,P3,,,,,,13X-11,scraped,
P3-0016,M11,android.app.admin,DeviceAdminInfo,getTagForPolicy,method,P3,,,,,,13X-11,scraped,
P3-0017,M11,android.app.admin,DeviceAdminInfo,isVisible,method,P3,,,,,,13X-11,scraped,
P3-0018,M11,android.app.admin,DeviceAdminInfo,loadIcon,method,P3,,,,,,13X-11,scraped,
P3-0019,M11,android.app.admin,DeviceAdminInfo,loadLabel,method,P3,,,,,,13X-11,scraped,
P3-0020,M11,android.app.admin,DeviceAdminInfo,supportsTransferOwnership,method,P3,,,,,,13X-11,scraped,
P3-0021,M11,android.app.admin,DeviceAdminInfo,usesPolicy,method,P3,,,,,,13X-11,scraped,
P3-0022,M11,android.app.admin,DeviceAdminInfo,writeToParcel,method,P3,,,,,,13X-11,scraped,
P3-0023,M11,android.app.admin,DeviceAdminInfo,CREATOR,field,P3,,,,,,13X-11,scraped,
P3-0024,M11,android.app.admin,DeviceAdminInfo,HEADLESS_DEVICE_OWNER_MODE_AFFILIATED,field,P3,,,,,,13X-11,scraped,
P3-0025,M11,android.app.admin,DeviceAdminInfo,HEADLESS_DEVICE_OWNER_MODE_UNSUPPORTED,field,P3,,,,,,13X-11,scraped,
P3-0026,M11,android.app.admin,DeviceAdminInfo,USES_ENCRYPTED_STORAGE,field,P3,,,,,,13X-11,scraped,
P3-0027,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_DISABLE_CAMERA,field,P3,,,,,,13X-11,scraped,
P3-0028,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_DISABLE_KEYGUARD_FEATURES,field,P3,,,,,,13X-11,scraped,
P3-0029,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_EXPIRE_PASSWORD,field,P3,,,,,,13X-11,scraped,
P3-0030,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_FORCE_LOCK,field,P3,,,,,,13X-11,scraped,
P3-0031,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_LIMIT_PASSWORD,field,P3,,,,,,13X-11,scraped,
P3-0032,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_RESET_PASSWORD,field,P3,,,,,,13X-11,scraped,
P3-0033,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_WATCH_LOGIN,field,P3,,,,,,13X-11,scraped,
P3-0034,M11,android.app.admin,DeviceAdminInfo,USES_POLICY_WIPE_DATA,field,P3,,,,,,13X-11,scraped,
P3-0035,M11,android.app.admin,DeviceAdminReceiver,<init>,ctor,P3,,,,,,13X-11,scraped,
P3-0036,M11,android.app.admin,DeviceAdminReceiver,getManager,method,P3,,,,,,13X-11,scraped,
P3-0037,M11,android.app.admin,DeviceAdminReceiver,getWho,method,P3,,,,,,13X-11,scraped,
P3-0038,M11,android.app.admin,DeviceAdminReceiver,onBugreportFailed,method,P3,,,,,,13X-11,scraped,
P3-0039,M11,android.app.admin,DeviceAdminReceiver,onBugreportShared,method,P3,,,,,,13X-11,scraped,
P3-0040,M11,android.app.admin,DeviceAdminReceiver,onBugreportSharingDeclined,method,P3,,,,,,13X-11,scraped,
P3-0041,M11,android.app.admin,DeviceAdminReceiver,onChoosePrivateKeyAlias,method,P3,,,,,,13X-11,scraped,
P3-0042,M11,android.app.admin,DeviceAdminReceiver,onComplianceAcknowledgementRequired,method,P3,,,,,,13X-11,scraped,
P3-0043,M11,android.app.admin,DeviceAdminReceiver,onDisableRequested,method,P3,,,,,,13X-11,scraped,
P3-0044,M11,android.app.admin,DeviceAdminReceiver,onDisabled,method,P3,,,,,,13X-11,scraped,
P3-0045,M11,android.app.admin,DeviceAdminReceiver,onEnabled,method,P3,,,,,,13X-11,scraped,
P3-0046,M11,android.app.admin,DeviceAdminReceiver,onLockTaskModeEntering,method,P3,,,,,,13X-11,scraped,
P3-0047,M11,android.app.admin,DeviceAdminReceiver,onLockTaskModeExiting,method,P3,,,,,,13X-11,scraped,
P3-0048,M11,android.app.admin,DeviceAdminReceiver,onOperationSafetyStateChanged,method,P3,,,,,,13X-11,scraped,
P3-0049,M11,android.app.admin,DeviceAdminReceiver,onPasswordChanged,method,P3,,,,,,13X-11,scraped,
P3-0050,M11,android.app.admin,DeviceAdminReceiver,onPasswordChanged,method,P3,,,,,,13X-11,scraped,
P3-0051,M11,android.app.admin,DeviceAdminReceiver,onPasswordExpiring,method,P3,,,,,,13X-11,scraped,
P3-0052,M11,android.app.admin,DeviceAdminReceiver,onPasswordExpiring,method,P3,,,,,,13X-11,scraped,
P3-0053,M11,android.app.admin,DeviceAdminReceiver,onPasswordFailed,method,P3,,,,,,13X-11,scraped,
P3-0054,M11,android.app.admin,DeviceAdminReceiver,onPasswordFailed,method,P3,,,,,,13X-11,scraped,
